m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
,Vision,,"University of Bern, IDSIA, TU Munich",Academia,"M Liwicki, A Graves, S Fernàndez",23/09/2007,2007,A Novel Approach to On-Line Handwriting Recognition Based on Bidirectional Long Short-Term Memory Networks,https://people.idsia.ch//~juergen/icdar_2007.pdf,2.87E+02,,No,,,,,,,,,,,,,,,,,Academia,
,Recommendation,,AT&T Labs,Industry,"RM Bell, Y Koren",28/10/2007,2007,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights,http://brettb.net/project/papers/2007%20Scalable%20collaborative%20filtering%20with%20jointly%20derived%20neighborhood%20interpolation%20weights.pdf,6.87E+02,,No,,,,,,,,,,,,,,,,,Industry,
,,,"NEC Laboratories, Google Zurich",Industry,"L Bottou, O Bousquet",03/12/2007,2007,The Tradeoffs of Large Scale Learning,https://dl.acm.org/doi/10.5555/2981562.2981583,1.70E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
BLSTM,Vision,Character recognition,"University of Bern, IDSIA, TU Munich",Academia,"Alex Graves, Marcus Liwicki, Horst Bunke, Jürgen Schmidhuber, Santiago Fernández",03/12/2007,2007,Unconstrained online handwriting recognition with recurrent neural networks,https://proceedings.neurips.cc/paper/2007/hash/4b0250793549726d5c1ea3906726ebfe-Abstract.html,3.41E+02,,No,1.01E+05,,,,,,,,,,,,,,,,Academia,
Stanley (DARPA Grand Challenge 2),Driving,Self-driving car,Stanford University,Industry - Academia Collaboration,"S Thrun, M Montemerlo, H Dahlkamp",01/01/2006,2006,Stanley: The Robot that Wonthe DARPA Grand Challenge,https://www.researchgate.net/publication/220648006_Stanley_The_robot_that_won_the_DARPA_Grand_Challenge,2.56E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,,,"CRAN, CENPARMI",Academia,"Fabian Lauer, Ching Y Suen, Gerard Bloch",02/02/2006,2006,A trainable feature extractor for handwritten digit recognition,https://hal.archives-ouvertes.fr/hal-00018426/en,3.65E+02,,No,,,,,,,,,,,,,,,,,Academia,
,Driving,Helicopter driving,Stanford and UC Berkeley,Academia,"H. Kim, Michael Jordan, Shankar Sastry, Andrew Ng",09/03/2006,2006,Autonomous helicopter flight via reinforcement learning,https://papers.nips.cc/paper/2003/hash/b427426b8acd2c2e53827970f2c2f526-Abstract.html,8.10E+01,,No,,,,,,,,,,,,,,,,,Academia,
FAST,Vision,Corner detection,University of Cambridge,Academia,Edward Rosten and Tom Drummond,07/05/2006,2006,Machine Learning for High-Speed Corner Detection,https://link.springer.com/chapter/10.1007/11744023_34,5.42E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,,"University of Illinois, INRIA, Ecole Normale",Academia,"S Lazebnik, C Schmid, J Ponce",17/06/2006,2006,Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories,https://inc.ucsd.edu/mplab/users/marni/Igert/Lazebnik_06.pdf,9.81E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
DrLIM,Vision,Image embedding,New York University,Academia,R. Hadsell; S. Chopra; Y. LeCun,17/06/2006,2006,Dimensionality Reduction by Learning an Invariant Mapping,https://ieeexplore.ieee.org/document/1640964,2.69E+03,Highly cited,Yes,3.71E+04,,,2.17E+05,,,,,,,,,,,,,Academia,
CTC-Trained LSTM,Speech,Speech recognition,"IDSIA, TUM",Academia,"Alex Graves, Santiago Fernández, Faustino Gómez, Jürgen Schmidhuber",25/06/2006,2006,Connectionist Temporal Classification: Labelling Unsegmented Sequence Data with Recurrent Neural Networks,https://www.cs.toronto.edu/~graves/icml_2006.pdf,3.29E+03,Highly cited,Yes,1.15E+05,,TIMIT,4.16E+04,,,,,,,,,,,,,Academia,
Semantic Taxonomy Induction,Language,,Stanford University,Academia,"Rion Snow, Dan Jurafsky, and Andrew Y. Ng",07/07/2006,2006,Semantic Taxonomy Induction from Heterogenous Evidence,https://www.aclweb.org/anthology/P06-1101/,5.71E+02,,No,1.00E+02,,,8.51E+05,,,,,,,,,,,,Mix of statistical and symbolic NLP,Academia,
DImensionality Reduction,Vision,Face recognition,University of Toronto,Academia,"GE Hinton, RR Salakhutdinov",18/07/2006,2006,Reducing the dimensionality of data with neural networks.,https://www.cs.toronto.edu/~hinton/science.pdf,1.57E+04,Highly cited,Yes,3.80E+06,,,7.00E+04,,,,,,,,,,,,,Academia,
Deep Belief Nets,Vision,Character recognition,"University of Toronto, NUS",Academia,"GE Hinton, S Osindero, YW Teh",18/07/2006,2006,A fast learning algorithm for deep belief nets,https://www.cs.toronto.edu/~hinton/absps/fastnc.pdf,1.61E+04,Highly cited,Yes,1.60E+06,,MNIST,6.00E+04,,,,,,,,,,,,,Academia,
,,,"Machine Vision group, Finland",Academia,"Timo Ahonen, Abdenour Hadid, and Matti Pietikainen",01/12/2006,2006,Face Description with Local Binary Patterns: Application to Face Recognition,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.456.1094&rep=rep1&type=pdf,3.11E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,,NYU,Academia,"M Ranzato, C Poultney, S Chopra, Y Cun",04/12/2006,2006,Efficient Learning of Sparse Representations with an Energy-Based Model.,https://papers.nips.cc/paper/2006/hash/87f4d79e36d68c3031ccf6c55e9bbd39-Abstract.html,1.60E+03,Highly cited,Yes,,,MNIST,6.00E+04,,,,,,,,,,,,,Academia,
,,,University of Montreal,Academia,"Y Bengio, P Lamblin, D Popovici",04/12/2006,2006,Greedy layer-wise training of deep networks,https://dl.acm.org/doi/10.5555/2976456.2976476,5.61E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
BiLSTM for Speech,Speech,Speech recognition,IDSIA and TU Munich,Academia,"A Graves, J Schmidhuber",01/08/2005,2005,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,https://www.sciencedirect.com/science/article/abs/pii/S0893608005001206,3.39E+03,Highly cited,Yes,1.52E+05,2.41E+13,TIMIT,4.16E+04,,,,,,,,,,,,,Academia,
SACHS,Other,,MIT and Stanford,Academia,"K. Sachs, O. Perez, D. Pe'er, D. A. Lauffenburger and G. P. Nolan",22/04/2005,2005,Causal Protein-Signaling Networks Derived from Multiparameter Single-Cell Data.,https://science.sciencemag.org/content/308/5721/523.long,1.68E+03,Highly cited,Yes,1.78E+02,,,5.40E+03,,,,,,,,,,,,,Academia,
Hiero,Language,Translation,"University of Maryland, College Park",Academia,David Chiang,01/06/2005,2005,A Hierarchical Phrase-Based Model for Statistical Machine Translation,https://aclanthology.org/P05-1033/,1.49E+03,Highly cited,Yes,1.20E+08,,,1.71E+08,,,,,,,,,,,,Statistical Phrase-Based Model,Academia,
,,,University of the Balearic Islands and CMLA,Academia,"A Buades, B Coll, JM Morel",20/06/2005,2005,A non-local algorithm for image denoising,http://www.iro.umontreal.ca/~mignotte/IFT6150/Articles/Buades-NonLocal.pdf,6.87E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,,New York University,Academia,"S Chopra, R Hadsell, Y LeCun",20/06/2005,2005,"Learning a similarity metric discriminatively, with application to face verification",https://ieeexplore.ieee.org/document/1467314,3.05E+03,Highly cited,Yes,,,,1.40E+05,,,,,,,,,,,,,Academia,
,Vision,,Inria Grenoble Rhône-Alpes,Academia,"N Dalal, B Triggs",25/06/2005,2005,Histograms of oriented gradients for human detection,https://ieeexplore.ieee.org/document/1467360,3.66E+04,Highly cited,Yes,,,,1.81E+03,,,,,,,,,,,,,Academia,
,,,Stanford University,Academia,"B. Taskar, C. Guestrin, and D. Koller",01/03/2004,2004,Max-margin markov networks,https://papers.nips.cc/paper/2003/file/878d5691c824ee2aaf770f7d36c151d6-Paper.pdf,1.76E+03,Highly cited,Yes,,,,6.00E+02,,,,,,,,,,,,,Academia,
,,,Soongsil University,Academia,"KS Oh, K Jung",01/06/2004,2004,GPU implementation of neural networks,https://www.sciencedirect.com/science/article/pii/S0031320304000524,4.71E+02,,No,,,,,,,,,,,,,,,,,Academia,
Sandstorm (DARPA Grand Challenge I),Driving,Self-driving car,Carnegie Mellon University,Academia,William Red L. Whittaker,14/06/2004,2004,DARPA Grand Challenge Technical Paper,https://ieeexplore.ieee.org/document/1336386,6.60E+01,,No,,,,,,,,,,,,,,,,,Academia,
,Language,Word sense disambiguation,University of Sussex,Academia,"D McCarthy, R Koeling, J Weeds",01/07/2004,2004,Finding Predominant Word Senses in Untagged Text,https://aclanthology.org/P04-1036/,4.75E+02,,No,,,,5.00E+03,,,,,,,,,,,,,Academia,
LIRA,Vision,Character recognition,Instituto de Ciencias Aplicadas y Technologia,Academia,"E Kussul, T Baidyk",30/07/2004,2004,Improved method of handwritten digit recognition tested on MNIST database,https://www.sciencedirect.com/science/article/abs/pii/S0262885604000721,1.88E+02,,No,1.00E+05,,,1.00E+04,1,,,45,500,,,,,,,,Academia,
NPLM,Language,Text autocompletion,Université de Montréal,Academia,"Yoshua Bengio, Réjean Ducharme, Pascal Vincent, Christian Jauvin",15/03/2003,2003,A Neural Probabilistic Language Model,https://dl.acm.org/doi/10.5555/944919.944966,7.63E+03,Highly cited,Yes,1.19E+07,1.30E+15,Brown corpus,1.00E+06,,2.17E+07,,20160,,,,,,,,,Academia,
,Recommendation,,University of Washington,Industry - Academia Collaboration,"G. Linden, B. Smith, and J. York",01/01/2003,2003,Amazon.com Recommendations: Item-to-Item Collaborative Filtering,https://ieeexplore.ieee.org/document/1167344,7.26E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Image Classification,California Institute of Technology,Academia,"M. Weber, M. Welling, and P. Perona",01/01/2003,2003,Unsupervised Learning of Models for Recognition,https://link.springer.com/content/pdf/10.1007/3-540-45054-8_2.pdf,9.49E+02,Historical relevance,Yes,,,,,,,,,,,,,,,,,Academia,
LDA,Language,Document classification,"University of California, Stanford University",Academia,"David M. Blei, Andrew Y. Ng, Michael I. Jordan",02/02/2003,2003,Latent Dirichlet Allocation,https://jmlr.org/papers/volume3/blei03a/blei03a.pdf,3.87E+04,Highly cited,Yes,,,,,,,,,,,,,,,,Hierarchial Bayesian Model/Generative Probabilistic Model,Academia,
Phrase-based translation,Language,Translation,University of Southern California,Academia,"Philipp Koehn, Franz Josef Och, Daniel Marcu",01/05/2003,2003,Statistical Phrase-Based Translation,https://dl.acm.org/doi/10.3115/1073445.1073462,4.27E+03,Highly cited,Yes,9.18E+06,,,2.00E+07,,,,,,,,,,,,,Academia,
Unsupervised Scale-Invariant Learning,Vision,,University of Oxford,Academia,"R Fergus, P Perona, A Zisserman",18/06/2003,2003,Object Class Recognition by Unsupervised Scale-Invariant Learning,https://ieeexplore.ieee.org/document/1211479,2.97E+03,Highly cited,Yes,4.51E+02,,,3.50E+03,,,,,,,,,,,,,Academia,
CNN Best Practices,Vision,Character recognition,One Microsoft Way,Industry,"PY Simard, D Steinkraus, JC Platt",06/08/2003,2003,Best practices for convolutional neural networks applied to visual document analysis,https://ieeexplore.ieee.org/document/1227801,3.07E+03,Highly cited,Yes,,,MNIST,5.00E+04,,,,,,,,,,,,,Industry,
Thumbs Up?,Language,Sentiment classification,Cornell University and IBM Almaden Research Center,Industry - Academia Collaboration,"Bo Pang, Lillian Lee, Shivakumar Vaithyanathan",28/05/2002,2002,Thumbs up? Sentiment Classification using Machine Learning Techniques,https://arxiv.org/abs/cs/0205070,1.07E+04,Highly cited,Yes,,,IMDb,2.05E+03,,,,,,,,,,,,,Industry,
,Language,,AT&T Labs,Industry,Michael Collins,01/06/2002,2002,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,https://dl.acm.org/doi/10.3115/1118693.1118694,2.58E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Language,,University of Southern California,Industry - Academia Collaboration,Daniel Marcu and William Wong,01/06/2002,2002,"A Phrase-Based, Joint Probability Model for Statistical Machine Translation",https://dl.acm.org/doi/10.3115/1118693.1118711,6.23E+02,,No,,,Hansard Corpus,1.07E+06,,,,,,,,,,,,Statistical Alignment Model,Industry,
,,,IDSIA Switzerland,Academia,"Justin Bayer, Daan Wierstra, Julian Togelius, Jürgen Schmidhuber",01/06/2002,2002,Evolving Neural Networks through Augmenting Topologies ,https://direct.mit.edu/evco/article/10/2/99/1123/Evolving-Neural-Networks-through-Augmenting,3.37E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Language,Translation,RWTH Aachen and University of Southern California,Academia,Franz Josef Och and Hermann Ney,06/07/2002,2002,Discriminative Training and Maximum Entropy Models for Statistical Machine Translation,https://aclanthology.org/P02-1038/,1.41E+03,Highly cited,Yes,,,,5.20E+05,,,,,,,,,,,,,Academia,
,Language,,IBM TJ Watson Research Centre,Industry,"K Papineni, S Roukos, T Ward, WJ Zhu",06/07/2002,2002,Bleu: a method for automatic evaluation of machine translation,https://dl.acm.org/doi/10.3115/1073083.1073135,1.58E+04,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,,,Korea Advanced Institute of Science and Technology,Academia,"YH Cho, JK Kim, SH Kim",01/10/2002,2002,A personalized recommender system based on web usage mining and decision tree induction,https://reader.elsevier.com/reader/sd/pii/S0957417402000520?token=155B6D1937982D7D0271AFD1CFB034DFD7F3D1DE816B66C025EBC9D0A305BA6DA685DD62989DC05246C794CAC74CDAEF&originRegion=us-east-1&originCreation=20220325235441,6.56E+02,,No,,,,,,,,,,,,,,,,,Academia,
Decision tree (classification),Vision,Face recognition,Mitsubishi Electric Research Labs and Compaq CRL,Industry - Academia Collaboration,"P. Viola, M. Jones",08/12/2001,2001,Rapid object detection using a boosted cascade of simple features,https://www.cs.cmu.edu/~efros/courses/LBMV07/Papers/viola-cvpr-01.pdf,2.34E+04,Highly cited,Yes,1.20E+08,6.30E+13,,1.45E+04,,6.70E+07,,,,,,,,,,,Industry,
Immediate trihead,Language,,Brown University,Academia,E Charniak,06/07/2001,2001,Immediate-Head Parsing for Language Models,https://dl.acm.org/doi/10.3115/1073012.1073029,4.22E+02,,No,,,,,,,,,,,,,,,,,Academia,
,,,Stanford University,Academia,Jerome H. Friedman,01/10/2001,2001,Greedy function approximation: A gradient boosting machine,https://projecteuclid.org/journals/annals-of-statistics/volume-29/issue-5/Greedy-function-approximation-A-gradient-boostingmachine/10.1214/aos/1013203451.full,1.43E+04,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Recommendation,,University of Minnesota,Academia,"B Sarwar, G Karypis, J Konstan, J Riedl",14/07/2000,2000,Application of Dimensionality Reduction in Recommender System -- A Case Study,http://robotics.stanford.edu/~ronnyk/WEBKDD2000/papers/sarwar.pdf,2.13E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Peephole LSTM,Other,Periodic function approximation,IDSIA Switzerland,Academia,F.A. Gers; J. Schmidhuber,26/07/2000,2000,Recurrent nets that time and count,https://ieeexplore.ieee.org/document/861302,6.30E+02,,No,1.70E+01,,,6.50E+07,,,,,,,,,,,,,Academia,
,Language,,University of Rochester,Academia,"Daniel Gildea, Daniel Jurafsky",01/09/2000,2000,Automatic Labeling of Semantic Roles,https://dl.acm.org/doi/10.1162/089120102760275983,2.33E+03,Highly cited,Yes,,,FrameNet,5.00E+04,,,,,,,,,,,,,Academia,
,Language,,RWTH Aachen - University of Technology,Academia,"Franz Josef Och, Hermann Ney",03/10/2000,2000,Improved Statistical Alignment Models,https://aclanthology.org/P00-1056/,1.32E+03,Highly cited,Yes,,,,,,,,,,,,,,,,Statistical Alignment Model,Academia,
LSTM with forget gates,,,IDSIA Switzerland,Academia,"F. A. Gers, J. Schmidhuber, and F. Cummins",02/01/1999,1999,Learning to forget: Continual prediction with LSTM,https://ieeexplore.ieee.org/document/818041,4.52E+03,Highly cited,Yes,2.76E+02,,,3.00E+04,,,,,,,,,,,,,Academia,
IBM Model 4,Language,Translation,University of Southern California & IBM & University of Pennsylvania,Industry - Academia Collaboration (Academia leaning),"Yaser Al-Onaizan, Jan Curin, Michael Jahr, Kevin Knight, John Lafferty, Dan Melamed, Franz-Josef Och, David Purdy, Noah A. Smith, and David Yarowsky",02/07/1999,1999,Statistical machine translation,http://www-i6.informatik.rwth-aachen.de/publications/download/266/al-onaizan--1999.pdf,1.92E+03,Highly cited,Yes,,,,8.00E+05,,,,,,,,,,,,,Industry,
,Vision,Character recognition,"University of California San Diego & Shannon Laboratory, AT&T Labs",Industry,Yoav Freund & Robert E. Schapire,01/12/1999,1999,Large Margin Classification Using the Perceptron Algorithm,https://link.springer.com/article/10.1023/A:1007662407062,1.73E+03,Highly cited,Yes,,,MNIST,6.00E+04,,,,,,,,,,,,,Industry,
LeNet-5,Vision,Character recognition,AT&T Labs,Industry - Academia Collaboration (Industry leaning),"Yann LeCun, Léon Bottou, Yoshua Bengio, Patrick Haffner",01/11/1998,1998,Gradient-based Learning Applied to Document Recognition,http://vision.stanford.edu/cs598_spring07/papers/Lecun98.pdf,3.86E+04,Historical relevance,Yes,6.00E+04,2.81E+12,MNIST,6.00E+04,6,7.81E+05,,,,0.021,,,,,,,Industry,
RNN for speech,Speech,Speech synthesis,National Chiao Tung University,Academia,"SH Chen, SH Hwang, YR Wang",15/05/1998,1998,An RNN-based prosodic information synthesizer for Mandarin text-to-speech,https://ieeexplore.ieee.org/abstract/document/668817,2.31E+02,,No,7.51E+03,2.27E+11,,1.41E+04,,,,,,,,,,,,,Academia,
,Speech,,Johns Hopkins University,Academia,F Jelinek,15/01/1998,1998,Statistical Methods for Speech Recognition,https://mitpress.mit.edu/books/statistical-methods-speech-recognition,3.06E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,Face recognition,Carnegie Mellon University,Academia,"H Schneiderman, T Kanade",23/06/1998,1998,Probabilistic modeling of local appearance and spatial relationships for object recognition,https://ieeexplore.ieee.org/document/698586,6.02E+02,,No,,,,1.20E+05,,,,,,,,,,,,,Academia,
,Other,Recommender system,AT&T Labs and Rutgers University and Bell Communications Research,Industry - Academia Collaboration,"C Basu, H Hirsh, W Cohen",01/07/1998,1998,Recommendation as Classification : Using Social and Content-based Information in Recommendation,https://www.aaai.org/Papers/AAAI/1998/AAAI98-101.pdf,1.56E+03,Highly cited,Yes,,,,4.50E+04,,,,,,,,,,,,,Industry,
LSTM,Other,Sequence recognition (?),The Technical University of Munich,Academia,Sepp Hochreiter ; Jurgen Schmidhuber,15/11/1997,1997,Long short-term memory,https://direct.mit.edu/neco/article-abstract/9/8/1735/6109/Long-Short-Term-Memory?redirectedFrom=fulltext,5.20E+04,Highly cited,Yes,1.05E+04,2.10E+13,,1.27E+06,,4.20E+04,,,,,,,,,,,Academia,
,Vision,,MIT,Academia,"E. Osuna, R. Freund, F. Girosi",17/06/1997,1997,Training Support Vector Machines: An Application to Face Detection,https://ieeexplore.ieee.org/document/609310,3.85E+03,Highly cited,Yes,,,,5.00E+04,,,,,,,,,,,,,Academia,
,Language,,Cambridge University Engineering & Carnegie Mellon University,Academia,"P Clarkson, R Rosenfeld",01/07/1997,1997,Statistical language modeling using the CMU-Cambridge toolkit,https://www.semanticscholar.org/paper/Statistical-language-modeling-using-the-toolkit-Clarkson-Rosenfeld/fdf4aa623e4d5b5edaeb873ed8e8b1cef0b59c87,9.54E+02,,No,,,,,,,,,,,Supervised,,,,,,Academia,
BRNN,Speech,Speech recognition,"ATR Labs, Japan",Industry,"M. Schuster, KK Paliwal",01/11/1997,1997,Bidirectional recurrent neural networks,https://ieeexplore.ieee.org/document/650093,6.09E+03,Highly cited,Yes,1.30E+04,,TIMIT,7.39E+04,,,,,,,,,,,,,Industry,
,,,"UC Davis, Cornell",Academia,"Bruno A. Olshausen, David J. Field",01/12/1997,1997,Sparse coding with an overcomplete basis set: A strategy employed by V1?,https://www.sciencedirect.com/science/article/pii/S0042698997001697,4.26E+03,Highly cited,Yes,,,,1.00E+01,,,,,,,,,,,,,Academia,
System 11,Vision,Face recognition,Carnegie Mellon University,Academia,"HA Rowley, S Baluja, T Kanade",18/06/1996,1996,Neural Network-Based Face Detection,https://ieeexplore.ieee.org/document/655647,6.01E+03,Highly cited,Yes,6.45E+03,9.58E+08,,9.05E+03,,1.29E+04,,,,,,,,,,,Academia,
